index,record_number,month,quality_code,rainfall_in,site,time,wateryear
7984866,33201850,Aug,0.0,0.0,RG09,08/30/2007 01:30:00 PM,2007
11703155,41896201,Dec,0.0,0.0,RG11,12/27/2008 06:55:00 AM,2009
9223944,11897157,Jun,0.0,0.0,RG03,06/10/2008 10:00:00 PM,2008
12526882,3487713,Oct,0.0,0.0,RG01,10/28/2009 10:50:00 AM,2010
23350168,4214871,Sep,0.0,0.0,RG01,09/26/2016 07:20:00 AM,2016
19464110,67958398,Oct,0.0,0.0,RG18,10/09/2012 01:10:00 AM,2013
18898980,42359738,May,0.0,0.0,RG11,05/24/2013 07:00:00 PM,2013
11475972,33324508,Oct,0.0,0.0,RG09,10/29/2008 11:00:00 AM,2009
4729262,45826851,Sep,0.0,0.0,RG12,09/10/2005 09:10:00 AM,2005
6543132,50131056,Dec,0.0,0.0,RG14,12/12/2005 01:00:00 PM,2006
10608216,67517000,Jul,0.0,0.0,RG18,07/29/2008 10:00:00 AM,2008
10403449,58968299,Aug,0.0,0.0,RG16,08/19/2008 10:05:00 AM,2008
18718740,33834988,Sep,0.0,0.0,RG09,09/05/2013 11:00:00 PM,2013
7897114,33114098,Oct,0.0,0.0,RG09,10/29/2006 08:50:00 PM,2007
9581176,28942257,Oct,0.0,0.0,RG08,10/31/2007 07:20:00 AM,2008
19372810,63694843,Nov,0.0,0.0,RG17,11/26/2012 12:50:00 AM,2013
18741273,38029776,Nov,0.0,0.0,RG10_30,11/23/2012 04:45:00 AM,2013
18973715,46606728,Feb,0.0,0.0,RG12,02/08/2013 06:55:00 AM,2013
13289417,33456033,Jan,0.0,0.0,RG09,01/29/2010 03:25:00 AM,2010
4951628,58565982,Oct,0.0,0.0,RG16,10/22/2004 11:40:00 AM,2005
12854483,16332079,Dec,0.0,0.0,RG04,12/09/2009 10:55:00 PM,2010
3794898,11514447,Oct,0.0,0.0,RG03,10/21/2004 01:30:00 AM,2005
25414234,29890323,Nov,7.0,0.0,RG08,11/04/2016 04:50:00 AM,2017
14686512,16482188,May,0.0,0.02,RG04,05/15/2011 04:00:00 AM,2011
9456879,20474026,Aug,0.0,0.0,RG05,08/26/2008 05:15:00 PM,2008
9219530,11892743,May,0.0,0.0,RG03,05/26/2008 02:10:00 PM,2008
6474402,45890071,Apr,0.0,0.0,RG12,04/17/2006 09:30:00 PM,2006
6857945,62962634,Dec,0.0,0.0,RG17,12/10/2005 03:25:00 PM,2006
4987361,58601715,Feb,0.0,0.0,RG16,02/23/2005 01:25:00 PM,2005
5019970,58634324,Jun,0.0,0.0,RG16,06/16/2005 06:50:00 PM,2005
16399032,12339957,Aug,0.0,0.0,RG03,08/26/2012 10:00:00 AM,2012
22671609,51113037,Apr,0.0,0.01,RG14,04/14/2015 04:45:00 AM,2015
14204454,71921365,Oct,0.0,0.0,RG20_25,10/13/2009 08:30:00 AM,2010
20331368,29593441,Jan,0.0,0.0,RG08,01/08/2014 08:40:00 AM,2014
14321912,3600823,Nov,0.0,0.0,RG01,11/25/2010 04:40:00 AM,2011
13050188,24872294,Oct,0.0,0.0,RG07,10/20/2009 11:40:00 AM,2010
18244424,16671652,Mar,0.0,0.0,RG04,03/03/2013 12:40:00 AM,2013
25002309,72618484,May,0.0,0.0,RG20_25,05/29/2016 09:45:00 PM,2016
17689126,67865622,Nov,0.0,0.0,RG18,11/21/2011 09:50:00 PM,2012
823830,32773102,Aug,0.0,0.0,RG09,08/02/2003 08:30:00 PM,2003
8597286,58847800,Jun,0.0,0.0,RG16,06/28/2007 12:30:00 AM,2007
21754327,12645460,Jul,0.0,0.0,RG03,07/23/2015 04:35:00 AM,2015
11635064,37655855,May,0.0,0.0,RG10_30,05/04/2009 08:40:00 PM,2009
18204201,16631429,Oct,0.0,0.0,RG04,10/14/2012 08:45:00 AM,2013
940969,37062496,Sep,0.0,0.0,RG10_30,09/13/2003 02:05:00 PM,2003
10757007,3399758,Dec,0.0,0.01,RG01,12/27/2008 01:15:00 AM,2009
25829566,55603569,Apr,7.0,0.0,RG15,04/23/2017 07:50:00 AM,2017
4401033,32981857,Jul,0.0,0.0,RG09,07/27/2005 04:45:00 PM,2005
13119306,24941412,Jun,0.0,0.0,RG07,06/17/2010 11:30:00 AM,2010
18029318,8112036,Feb,0.0,0.0,RG02,02/14/2013 03:10:00 AM,2013
11941896,50479452,Apr,0.0,0.0,RG14,04/05/2009 06:00:00 AM,2009
169037,7084779,May,0.0,0.0,RG02,05/11/2003 06:25:00 AM,2003
5376435,3069554,Nov,0.0,0.0,RG01,11/06/2005 12:15:00 PM,2006
1527814,62682871,Apr,0.0,0.0,RG17,04/14/2003 05:50:00 AM,2003
25671607,47012972,Dec,7.0,0.0,RG12,12/19/2016 08:35:00 PM,2017
5865552,20247691,Jul,0.0,0.0,RG05,07/02/2006 08:00:00 PM,2006
22749903,55363586,Jan,0.0,0.0,RG15,01/11/2015 01:15:00 AM,2015
15266029,42095235,Nov,0.0,0.02,RG11,11/18/2010 09:05:00 AM,2011
2729026,37166329,Sep,0.0,0.0,RG10_30,09/08/2004 02:50:00 AM,2004
23551225,12759862,Aug,0.0,0.0,RG03,08/23/2016 10:05:00 AM,2016
15640942,54986913,Jun,0.0,0.0,RG15,06/13/2011 03:50:00 AM,2011
13377831,37716702,Dec,0.0,0.0,RG10_30,12/02/2009 03:15:00 AM,2010
13736109,50591745,Apr,0.0,0.0,RG14,04/30/2010 03:45:00 AM,2010
6776108,58708542,Mar,0.0,0.0,RG16,03/01/2006 11:40:00 AM,2006
1931645,7165179,Feb,0.0,0.0,RG02,02/14/2004 10:25:00 AM,2004
2506971,28600340,Jul,0.0,0.0,RG08,07/31/2004 02:15:00 AM,2004
3676381,3051420,Sep,0.0,0.0,RG01,09/04/2005 01:05:00 PM,2005
10249288,54642171,Mar,0.0,0.0,RG15,03/03/2008 03:20:00 AM,2008
11998773,54708584,Oct,0.0,0.0,RG15,10/19/2008 05:45:00 PM,2009
19434156,63756189,Jun,0.0,0.0,RG17,06/27/2013 01:00:00 AM,2013
24569795,55498102,Apr,0.0,0.0,RG15,04/22/2016 02:55:00 AM,2016
19021482,46654495,Jul,0.0,0.0,RG12,07/24/2013 03:30:00 AM,2013
15197750,37854701,Mar,0.0,0.0,RG10_30,03/26/2011 07:10:00 AM,2011
2898142,45679379,Apr,0.0,0.0,RG12,04/16/2004 07:50:00 AM,2004
23569917,16950521,Oct,0.0,0.0,RG04,10/27/2015 07:45:00 AM,2016
22347981,38272644,Mar,0.0,0.0,RG10_30,03/16/2015 11:45:00 AM,2015
3171688,58468826,Nov,0.0,0.0,RG16,11/20/2003 03:20:00 AM,2004
3482395,71295434,Oct,0.0,0.0,RG20_25,10/31/2003 11:35:00 PM,2004
3798041,11517590,Oct,0.0,0.0,RG03,10/31/2004 11:25:00 PM,2005
18494963,25266701,Jul,0.0,0.0,RG07,07/20/2013 10:55:00 PM,2013
21074964,59542822,Feb,0.0,0.0,RG16,02/04/2014 07:00:00 AM,2014
3819640,11539189,Jan,0.0,0.0,RG03,01/14/2005 11:20:00 PM,2005
13593777,46277158,Dec,0.0,0.0,RG12,12/21/2009 10:45:00 PM,2010
9040105,3369384,Sep,0.0,0.0,RG01,09/12/2008 02:05:00 PM,2008
25746987,51304671,Feb,7.0,0.0,RG14,02/07/2017 02:15:00 PM,2017
15974359,67837095,Aug,0.0,0.0,RG18,08/14/2011 08:35:00 PM,2011
11300234,24804260,Feb,0.0,0.0,RG07,02/26/2009 06:10:00 AM,2009
25033933,72650108,Sep,0.0,0.0,RG20_25,09/16/2016 05:05:00 PM,2016
777012,32726284,Feb,0.0,0.0,RG09,02/21/2003 07:00:00 AM,2003
8803713,67398737,Jun,0.0,0.0,RG18,06/14/2007 06:45:00 PM,2007
15573837,54919808,Oct,0.0,0.0,RG15,10/23/2010 03:45:00 AM,2011
21531595,4078218,Jun,0.0,0.0,RG01,06/09/2015 07:35:00 PM,2015
5038676,58653030,Aug,0.0,0.0,RG16,08/20/2005 05:40:00 PM,2005
10117351,50338267,Dec,0.0,0.0,RG14,12/02/2007 12:35:00 AM,2008
1035832,41329614,Aug,0.0,0.0,RG11,08/08/2003 11:20:00 PM,2003
23453776,8490446,Sep,0.0,0.0,RG02,09/20/2016 01:20:00 AM,2016
9390539,20407686,Jan,0.0,0.0,RG05,01/09/2008 08:55:00 AM,2008
