index,Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
633297,500 5th Av,Aid Response,07/28/2017 12:35:00 PM +0000,47.602985,-122.328535,"(47.602985, -122.328535)",F170076262
637045,3027 Cascadia Av S,Aid Response,08/09/2017 05:30:00 PM +0000,47.57708,-122.28465,"(47.57708, -122.28465)",F170081626
160973,11 W Aloha St,Medic Response,07/23/2012 02:39:00 PM +0000,47.627192,-122.35682299999999,"(47.627192, -122.356823)",F120067812
420390,1522 Post Al,Medic Response,05/20/2015 05:17:00 AM +0000,47.608981,-122.34093899999999,"(47.608981, -122.340939)",F150054182
69391,9242 35th Av Sw,Unk Odor,01/01/2011 10:37:00 AM +0000,47.52069,-122.376774,"(47.52069, -122.376774)",F110000141
334747,2717 Dexter Av N,Medic Response,07/01/2014 02:27:00 PM +0000,47.644371,-122.34691299999999,"(47.644371, -122.346913)",F140068480
160429,4062 Letitia Av S,Medic Response,07/21/2012 07:28:00 AM +0000,47.566772,-122.28988700000001,"(47.566772, -122.289887)",F120067022
205561,Brooklyn Av Ne / Ne 41st St,Aid Response,01/25/2013 01:44:00 AM +0000,47.656848,-122.314402,"(47.656848, -122.314402)",F130008394
95796,2008 Westlake Av,Aid Response,08/07/2010 07:27:00 AM +0000,47.615007,-122.337781,0,0
706525,8631 39th Av S,Wires Down,04/14/2018 04:35:00 AM +0000,47.525735,-122.28368999999999,"(47.525735, -122.28369)",F180037130
96452,920 N 74th St,Medic Response,08/04/2010 07:48:00 AM +0000,47.682569,-122.34624,0,0
263339,5000 Renton Av S,Aid Response,09/09/2013 04:34:00 AM +0000,47.556616,-122.288822,"(47.556616, -122.288822)",F130091209
391118,756 John St,Aid Response,01/26/2015 06:17:00 PM +0000,47.619719,-122.342229,"(47.619719, -122.342229)",F150009486
391899,11100 Roosevelt Way Ne,Aid Response,01/30/2015 04:01:00 AM +0000,47.709352,-122.31786399999999,"(47.709352, -122.317864)",F150010833
195043,720 Olive Way,Aid Response,12/12/2012 03:17:00 AM +0000,47.613690000000005,-122.334946,"(47.61369, -122.334946)",F120117584
337921,7125 Fauntleroy Way Sw,Aid Response,07/11/2014 06:04:00 PM +0000,47.539419,-122.39081599999999,"(47.539419, -122.390816)",F140073092
392212,38th Av S / S Myrtle St,Aid Response,01/30/2015 09:20:00 PM +0000,47.538882,-122.284099,"(47.538882, -122.284099)",F150011084
180925,4639 S Austin St,Trans to AMR,10/11/2012 02:53:00 PM +0000,47.534702,-122.274798,"(47.534702, -122.274798)",F120096986
427731,10515 35th Av Ne,Aid Response,06/13/2015 11:16:00 PM +0000,47.704886,-122.290872,"(47.704886, -122.290872)",F150064592
643395,400 Pine St,Aid Response,08/30/2017 09:19:00 PM +0000,47.611207,-122.33759199999999,"(47.611207, -122.337592)",F170090008
649587,9262 Rainier Av S,Aid Response,09/19/2017 12:52:00 PM +0000,47.519853000000005,-122.26836399999999,"(47.519853, -122.268364)",F170097707
41857,318 2nd Av Et  S,Aid Response,05/19/2011 10:54:00 AM +0000,47.600194,-122.330541,"(47.600194, -122.330541)",F110043310
200410,9621 58th Av S,Aid Response,01/03/2013 04:05:00 AM +0000,47.516453999999996,-122.26080400000001,"(47.516454, -122.260804)",F130000685
31161,7049 16th Av Ne,Aid Response,07/26/2011 08:21:00 PM +0000,47.679702,-122.310938,"(47.679702, -122.310938)",F110067913
585798,8732 Rainier Av S,Aid Response,12/31/2016 12:34:00 AM +0000,47.525216,-122.26998400000001,"(47.525216, -122.269984)",F160143590
95325,610 Harvard Av E,Auto Fire Alarm,08/09/2010 07:26:00 AM +0000,47.624349,-122.32198899999999,0,0
