index,StationName,StationLocation,DateTime,RecordId,RoadSurfaceTemperature,AirTemperature
20954719,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",04/18/2017 07:09:00 AM,1278200,52.13,53.68
16353474,AlbroPlaceAirportWay,"(47.547426, -122.314114)",06/05/2016 11:08:00 PM,1109222,91.9,79.23
13522942,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",02/11/2016 07:36:00 PM,656927,53.64,51.2
29290714,MagnoliaBridge,"(47.633454, -122.387341)",01/18/2018 02:55:00 PM,2679172,46.1,44.95
16082436,AlbroPlaceAirportWay,"(47.547426, -122.314114)",05/18/2016 06:53:00 AM,1082327,62.43,56.67
20285449,SpokaneSwingBridge,"(47.571389, -122.351743)",03/06/2017 08:54:00 AM,2167825,39.77,39.66
10243954,AlbroPlaceAirportWay,"(47.547426, -122.314114)",11/29/2015 01:28:00 AM,835822,32.47,30.9
964098,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",04/16/2014 06:39:00 AM,735423,51.5,51.5
30209743,SpokaneSwingBridge,"(47.571389, -122.351743)",03/07/2018 05:20:00 PM,2695371,49.44,48.53
16225269,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",05/27/2016 11:00:00 AM,807643,66.96,58.52
23272678,MagnoliaBridge,"(47.633454, -122.387341)",06/14/2017 06:47:00 PM,2365425,78.11,60.88
13546589,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",02/11/2016 06:09:00 PM,656840,53.98,51.13
4403518,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",01/11/2015 12:39:00 AM,84201,46.24,45.64
5482663,AlbroPlaceAirportWay,"(47.547426, -122.314114)",03/10/2015 01:06:00 PM,456300,65.59,51.32
27884649,SpokaneSwingBridge,"(47.571389, -122.351743)",11/14/2017 08:24:00 PM,2532835,52.95,54.98
2958278,AuroraBridge,"(47.643174, -122.347278)",09/22/2014 03:53:00 PM,985197,76.03,70.67
8660782,SpokaneSwingBridge,"(47.571389, -122.351743)",09/01/2015 08:28:00 AM,1372859,62.46,63.51
30535494,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",03/23/2018 06:54:00 AM,1764996,39.34,42.01
31428011,SpokaneSwingBridge,"(47.571389, -122.351743)",04/10/2018 09:00:00 PM,2744491,57.13,60.47
7656174,AlaskanWayViaduct_KingSt,"(47.598438, -122.335612)",07/10/2015 04:26:00 PM,345637,83.8,75.34
3393079,NE45StViaduct,"(47.66127, -122.301929)",10/31/2014 12:15:00 AM,1041669,55.91,54.29
24115229,MagnoliaBridge,"(47.633454, -122.387341)",06/29/2017 07:56:00 PM,2387094,85.4,71.1
1915279,MagnoliaBridge,"(47.633454, -122.387341)",06/22/2014 09:31:00 AM,798147,74.7,62.62
18378733,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",10/26/2016 12:22:00 PM,2066326,54.25,54.25
3672237,JoseRizalBridgeNorth,"(47.59653, -122.317301)",11/22/2014 12:30:00 AM,912271,45.85,48.27
17237780,AuroraBridge,"(47.643174, -122.347278)",08/09/2016 08:08:00 PM,1921659,72.2,65.58
30976324,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",04/05/2018 04:37:00 AM,2823300,46.15,46.15
20533277,MagnoliaBridge,"(47.633454, -122.387341)",03/21/2017 09:07:00 PM,2243165,49.74,50.81
10018702,AlbroPlaceAirportWay,"(47.547426, -122.314114)",11/16/2015 06:27:00 AM,817401,36.34,36.55
22251748,AuroraBridge,"(47.643174, -122.347278)",06/02/2017 07:28:00 PM,2318684,77.57,65.54
416761,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",05/04/2014 08:00:00 PM,762218,54.95,54.95
8228571,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",08/10/2015 11:44:00 PM,284139,78.15,78.15
16532340,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",06/19/2016 10:13:00 PM,1881158,68.78,68.78
21502562,MagnoliaBridge,"(47.633454, -122.387341)",05/20/2017 07:03:00 PM,2329441,84.7,67.03
5320679,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",03/02/2015 09:28:00 AM,1196452,46.66,46.66
4526066,JoseRizalBridgeNorth,"(47.59653, -122.317301)",01/18/2015 05:12:00 AM,994633,48.36,49.95
31082938,SpokaneSwingBridge,"(47.571389, -122.351743)",04/06/2018 03:38:00 AM,2737689,52.35,55.49
6892936,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",05/26/2015 10:18:00 AM,279121,73.98,62.01
14564931,HarborAveUpperNorthBridge,"(47.571695, -122.370873)",03/04/2016 04:45:00 PM,687088,51.35,50.0
31496559,SpokaneSwingBridge,"(47.571389, -122.351743)",04/12/2018 07:41:00 AM,2746572,44.94,48.5
5232078,AuroraBridge,"(47.643174, -122.347278)",02/26/2015 10:34:00 AM,1211018,48.97,48.63
27193609,AuroraBridge,"(47.643174, -122.347278)",10/08/2017 05:43:00 AM,2502177,53.63,48.09
18534058,RooseveltWay_NE80thSt,"(47.692098, -122.31765)",11/08/2016 04:22:00 AM,2084626,51.8,51.8
25561148,NE45StViaduct,"(47.66127, -122.301929)",08/07/2017 08:16:00 PM,2498712,89.6,77.73
11699117,AuroraBridge,"(47.643174, -122.347278)",01/12/2016 05:22:00 PM,1672224,46.29,46.71
29131433,SpokaneSwingBridge,"(47.571389, -122.351743)",01/11/2018 02:55:00 PM,2616026,47.46,48.64
3329644,JoseRizalBridgeNorth,"(47.59653, -122.317301)",10/25/2014 09:10:00 AM,872411,50.01,51.13
21314176,SpokaneSwingBridge,"(47.571389, -122.351743)",05/08/2017 01:23:00 PM,2258754,73.37,60.67
8474443,AlbroPlaceAirportWay,"(47.547426, -122.314114)",08/22/2015 01:20:00 AM,693194,71.43,63.34
19743415,AlbroPlaceAirportWay,"(47.547426, -122.314114)",01/30/2017 01:01:00 AM,1452115,45.82,45.73
6214956,JoseRizalBridgeNorth,"(47.59653, -122.317301)",04/24/2015 01:00:00 PM,1133281,63.1,50.1
18045410,JoseRizalBridgeNorth,"(47.59653, -122.317301)",10/02/2016 07:57:00 PM,1892579,64.38,60.31
528004,MagnoliaBridge,"(47.633454, -122.387341)",05/01/2014 11:19:00 AM,723375,85.9,73.77
9639886,AlbroPlaceAirportWay,"(47.547426, -122.314114)",10/26/2015 01:10:00 AM,786784,53.51,55.46
2723107,NE45StViaduct,"(47.66127, -122.301929)",09/02/2014 12:07:00 AM,956701,72.4,63.89
12816264,35thAveSW_SWMyrtleSt,"(47.53918, -122.37658)",02/10/2016 12:07:00 PM,548462,46.67,46.67
3507637,SpokaneSwingBridge,"(47.571389, -122.351743)",11/09/2014 01:03:00 PM,946954,53.73,53.22
15023374,AuroraBridge,"(47.643174, -122.347278)",03/10/2016 12:47:00 AM,1754749,48.66,54.19
96695,HarborAveUpperNorthBridge,"(47.405028, -122.370873)",03/21/2014 02:52:00 AM,718015,43.11,41.97
6011059,JoseRizalBridgeNorth,"(47.59653, -122.317301)",04/10/2015 09:24:00 PM,1113625,53.93,48.15
10321053,NE45StViaduct,"(47.66127, -122.301929)",12/03/2015 09:28:00 AM,1615404,47.6,50.59
